ext_gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,log10FDR
Il2rg,1.3554733085485864,-0.33101157725391794,0.02750016738593391,-12.036711362827102,2.2785934022019873e-33,1.2264095921354702e-32,31.911364461386547
Med12,1.1274700071949417,0.1276909689348937,0.02635128903300774,4.845720024358104,1.2615331516046835e-6,3.2991186628539456e-6,5.481602063449544
Zmym3,1.1069890096009614,0.09894760034317138,0.026814981255381735,3.6900119153845283,2.2424354831964774e-4,5.01855697956707e-4,3.299421140604334
Nono,2.116320966843402,0.9037242411088163,0.016044847886756405,56.324886810224,0,0,Inf
Itgb1bp2,1.0645157835652757,0.09015791604983996,0.02742812656906913,3.2870606682817196,0.0010123902053345009,0.002146028237189558,2.66836456793627
Ogt,1.4664925789641514,0.46369672944147855,0.021024441959247183,22.055126615978065,8.529265525103361e-108,9.049132861863985e-107,106.04339303530867
Nhsl2,1.097665157624461,-0.08158984620775916,0.028380837499467754,-2.874821654198516,0.004042557720850573,0.00804034373274521,2.094725384330717
Pin4,1.6682959716999548,0.19146460599290388,0.021252691645534352,9.008957979830038,2.080235704731717e-19,8.5880434504847945e-19,18.06610576695376
Rps4x,33.90975979830769,1.2076478352192257,0.024127651822298583,50.052439587308996,0,0,Inf
Cited1,1.0692409667735354,0.42249800311728314,0.024917845263954665,16.955639568420263,1.748483636909732e-64,1.3306547822807605e-63,62.87593460087157
Xist,5.343072328254448,0.9327789557470674,0.025505680114282146,36.571420623469244,8.143534655362434e-293,2.036021924191294e-291,290.6912175497616
Pbdc1,1.6991464806448822,0.23590119243731875,0.020784222966351205,11.350012594612412,7.415201930974837e-30,3.7589075261802216e-29,28.42493835834143
Atrx,1.7781563337932187,0.3967011147098415,0.019435022369110145,20.41166236784758,1.3172741040159392e-92,1.2539223306877e-91,90.90172936334454
Cox7b,4.7115554781126,0.7427547025883741,0.02111429311049372,35.17781526956391,4.367554207080037e-271,1.0018162500539037e-269,268.9992119280752
Atp7a,1.1403018489043089,0.09640730871151143,0.026439681744510318,3.646311239413028,2.6603173297531566e-4,5.916012231643761e-4,3.2279709367491987
Tlr13,1.207657315680796,-0.21167178344983037,0.028112183815039844,-7.529538965826884,5.0919789293801165e-14,1.8169246841301573e-13,12.740663074862908
Pgk1,1.1824959397675638,0.2389403601639547,0.024932682342979275,9.583419741086834,9.38837811313529e-22,4.074661246508408e-21,20.38990849119086
Fndc3c1,1.0433221118095655,0.20042977574390317,0.02683902193136994,7.467849471430894,8.151601460003306e-14,2.888365810876051e-13,12.539347804321213
Cysltr1,1.1608832848451376,-0.16104407851681132,0.02825226451279579,-5.700218417673122,1.196540215572984e-8,3.4583417496619755e-8,7.461132092421613
Zcchc5,1.1086506001255148,0.43432840539840184,0.024387428812101656,17.809520173068723,5.9618711039629825e-71,4.850525628561264e-70,69.31421119640504
Lpar4,1.162839486466924,0.4114863662700716,0.02396031959425565,17.17365933502503,4.1820360426173735e-66,3.2310945836087846e-65,64.49065032872387
A630033H20Rik,1.0962498054580623,-0.08604882009801947,0.028438573798491937,-3.0257783216464436,0.0024799404766366008,0.005049025778923072,2.29679241191187
Itm2a,4.458361120307668,1.8997652648159835,0.032092682454524506,59.19621295315406,0,0,Inf
Sh3bgrl,2.4865853358171743,-0.15429975751985558,0.02066310293249526,-7.467404969328218,8.17917541741521e-14,2.8974389510910845e-13,12.537985705833247
Gm6377,1.2500380796748443,-0.2586655686139359,0.02802623997944186,-9.22940675608556,2.7213490403064094e-20,1.1482689388983435e-19,18.939956382843448
Apool,1.2773242647821956,0.32271929909681224,0.023418822458234588,13.780338429583885,3.3469945782583762e-43,2.0639799899259986e-42,41.68529451746481
Diaph2,1.2733784664435237,-0.10851210142797774,0.02655230020848729,-4.086730738050802,4.374943670646111e-5,1.0386171287108597e-4,3.983544519365392
Pcdh19,1.264821063460287,-0.22339751248409892,0.027555081434475846,-8.107307286146963,5.175385930905596e-16,1.9667802120907306e-15,14.706244169826169
Tnmd,1.435052008569322,-0.5022188702598446,0.03395624038141387,-14.790178907283762,1.6950266083105462e-49,1.1289444520118093e-48,47.94732742634628
Tspan6,1.4832678935715442,0.5300457431909528,0.020558688932106186,25.78207904898004,1.408680927658608e-146,1.8505116271811473e-145,144.7327081817903
Srpx2,1.661966738848679,0.0946084768161582,0.02590355204451711,3.6523360446307422,2.598655118959999e-4,5.784128670163988e-4,3.2377620545585017
Cstf2,1.1289492632481959,0.14703858771584694,0.026187891594966976,5.614754711452454,1.9684127419118318e-8,5.6274210905442896e-8,7.249690586097581
Tmem35,1.0436467815410244,0.1472681466077751,0.027244113192863517,5.405503404175819,6.462662335009633e-8,1.8051814405415753e-7,6.743479140203862
Drp2,1.0965787036382972,0.5862179648505262,0.023546370883672677,24.89631917150411,8.15544152831468e-137,1.0143330400841384e-135,134.99381942791837
Btk,1.1382221907403254,-0.14996463195942572,0.028437737922820956,-5.273437443105516,1.3389190652801326e-7,3.684028803310021e-7,6.433676982962241
Rpl36a,13.046504654904062,1.298947535071518,0.02225173176446182,58.3751210387168,0,0,Inf
Gla,1.4717741802746704,-0.42309341856016625,0.027137274990667738,-15.590858651270779,8.399689828531357e-55,5.870613783339001e-54,53.23131649010129
Hnrnph2,1.5856166997050107,0.20327097995885166,0.021738820071094202,9.35059857407524,8.715308677959705e-21,3.718969446294831e-20,19.429577389632442
Armcx6,1.0912234321362062,0.08338458516040036,0.02713623451520408,3.072813404294581,0.0021205103579214207,0.004346539300860955,2.36185638918504
Armcx3,1.3943578728349373,0.21119356398465472,0.023119757317231267,9.134765607044288,6.554861553857499e-20,2.743020495655173e-19,18.56177094736569
Armcx2,1.279930206875218,0.7600084499034543,0.02079882183100532,36.54093756265035,2.4838656633433523e-292,6.189070348290052e-291,290.2083745808553
Armcx5,1.0955660965673395,0.07943751275130062,0.027115555514828808,2.9295919350742516,0.0033940739504504623,0.006815918859175441,2.1664755883150235
Gprasp1,1.1025138472735028,0.1740069743376479,0.02630068051083525,6.616063575463806,3.688897725410479e-11,1.1941681227609302e-10,9.922934526098304
Bhlhb9,1.1062382232959813,0.27736427767357164,0.025497109732849865,10.878263480829835,1.4632388783197416e-27,7.099721819484849e-27,26.148758667425923
Tceal8,2.20734001662163,0.6111310102561349,0.02143570701153694,28.509953505485836,8.817479440073358e-179,1.3455564998395882e-177,176.8710980615172
Bex1,1.108237733048518,0.5953740793705381,0.02342288105692036,25.418481950350554,1.5756394199438831e-142,2.022917706895695e-141,140.6940217841437
Wbp5,3.5504190257419013,0.5266397954863206,0.024899412478816888,21.15069164520882,2.7192570261574054e-99,2.7129931549589402e-98,97.5665513019875
Ngfrap1,1.7720682037413584,0.7471693459211483,0.018738095596325572,39.87434806702895,0,0,Inf
Tceal3,1.0604266945721046,0.32862105343413306,0.025679346511121377,12.797095646176656,1.70198394224712e-37,9.714502144779491e-37,36.01257945150427
Tceal1,1.1215566950593727,0.24950448893959665,0.0255305096893905,9.772797017181414,1.4732748628307075e-22,6.5190641917202515e-22,21.185814742541247
Morf4l2,2.951740135605759,0.895182188443167,0.021063627213615144,42.49895705828565,0,0,Inf
Nrk,1.0717153246613462,0.20087941036800389,0.026481436728765292,7.585668875352217,3.307761830662108e-14,1.1871825668615695e-13,12.925482489399458
Mum1l1,1.0766871599889747,0.37316596213168163,0.02517440427749669,14.82322910279364,1.0367820965980795e-49,6.933539125569172e-49,48.159045029405064
Rnf128,1.1218656529683646,-0.11372216497237747,0.028343319043719804,-4.012309383984285,6.012762587302062e-5,1.4076938292624828e-4,3.8514917931491253
Gm15013,2.4673924130574445,0.7501667186824906,0.017202553676101223,43.60786966906346,0,0,Inf
Prps1,1.2452722833253382,0.3206512219516864,0.023742926252013807,13.5051264763327,1.4586304234119716e-41,8.788785439920088e-41,40.05607113780292
Tsc22d3,2.015574785808364,-0.38529026682020584,0.023400425005742263,-16.46509696835245,6.535782993498877e-61,4.8098920720771846e-60,59.31786466853827
Psmd10,1.3353127258658353,0.16540409685435264,0.023939436142122808,6.909272878124087,4.8714411254439536e-12,1.6248435337097997e-11,10.789188453588562
Kcne1l,1.0539640174629523,0.21485210505598384,0.02659322762465711,8.079203776557533,6.519101274069304e-16,2.4723225691976455e-15,14.606894866559253
Acsl4,1.17591458644784,0.1526956646509121,0.02561401675965431,5.961410351360015,2.5007010048269928e-9,7.483300751286791e-9,8.125906800280164
Ammecr1,1.1467460475896942,0.19747277438406174,0.025609230263360216,7.710999993099797,1.248356701879287e-14,4.541329247004541e-14,13.342817010547012
Chrdl1,1.1002612040577036,-0.10056167681006434,0.02850977942001096,-3.5272695494613435,4.1986908308533295e-4,9.176301747572889e-4,3.037332313813069
Pak3,1.0493260871363046,0.07781215723100189,0.02771545024255006,2.807537187743067,0.004992191550154709,0.009820332990592873,2.007873785784828
Capn6,1.4721002451700944,2.144991364227808,0.015064296311911184,142.38908474813957,0,0,Inf
Maged2,1.8862771323391816,0.2829455326312889,0.025096625785645452,11.274245990197041,1.758789468235829e-29,8.851651985386472e-29,28.052975669281313
Gnl3l,1.1100335556540335,0.11159837163119937,0.026682133014956037,4.182513128491098,2.883043636596341e-5,6.934939659019556e-5,4.158957313374957
Fgd1,1.0771472605268702,0.09775824723755483,0.027194765637354058,3.594744979279267,3.2470948251968817e-4,7.177532031799652e-4,3.1440248606631815
Tsr2,1.1290900477067467,0.16676492004459964,0.026046037025004402,6.402698417594354,1.5265454497116553e-10,4.809565317170269e-10,9.317894172874597
Huwe1,1.3726535857048872,0.3038751217694036,0.022707790463670354,13.381976650505301,7.707014269134491e-41,4.5930187020345815e-40,39.33790178620109
Hsd17b10,1.8886599430468018,0.6095218060555649,0.01781951772146794,34.20529194913327,2.0173011281296432e-256,4.317845408842605e-255,254.36473291070223
Smc1a,1.651005024817979,0.4875065032509912,0.019672007426888204,24.781736437566348,1.4109131107555563e-135,1.747443773674207e-134,133.7575967893596
Kdm5c,1.205100015023758,0.12131541984780538,0.02553102690143518,4.75168587288535,2.0172759921431527e-6,5.207461563289008e-6,5.283373926932419
Ubqln2,1.2437439581465872,0.10030159554860675,0.025281089419350443,3.967455432194893,7.264409129159743e-5,1.68891204351131e-4,3.7723929673693983
Kctd12b,1.1042752233205173,-0.08128250170463452,0.02829520965921722,-2.8726594601555315,0.00407032605777549,0.008091201609989452,2.09198697729549
2210013O21Rik,1.5777557775210937,0.1314103798983709,0.022227991004459893,5.911932386152411,3.381173386344693e-9,1.0056788383621884e-8,7.997540688262064
Sat1,7.810056630681686,-1.5297859293477316,0.03089005849537854,-49.52356854800398,0,0,Inf
Acot9,1.4281066613602347,0.2697989464705197,0.02247436750165121,12.004740353680582,3.355152147295168e-33,1.801895350877777e-32,31.74427043525266
Prdx4,2.6202927350602314,0.29422700354642317,0.024679271856497424,11.922029355536301,9.086782860264711e-33,4.855296240938249e-32,31.313784266913583
Sms,1.3871296049385788,0.36317721538404024,0.0222211854036505,16.343737239345362,4.82054364920154e-60,3.521196715185609e-59,58.45330971195532
